Name,Inspect Link,Collection,Price (INR),Listing ID,Asset ID
AK-47  Head Shot (Battle-Scarred)_data.json,steam://rungame/730/76561202255233023/+csgo_econ_action_preview%20M5028915537764443643A38778389544D11961713213873733947,Revolution Case,433.6074588072914,5028915537764443643,38778389544
AK-47  Head Shot (Battle-Scarred)_data.json,steam://rungame/730/76561202255233023/+csgo_econ_action_preview%20M5035670937208653101A38777747505D7531191080088553277,Revolution Case,445.8779576415941,5035670937208653101,38777747505
AK-47  Head Shot (Battle-Scarred)_data.json,steam://rungame/730/76561202255233023/+csgo_econ_action_preview%20M5044678136457377699A38769237174D17188665605625638677,Revolution Case,460.8739562169741,5044678136457377699,38769237174
AK-47  Head Shot (Battle-Scarred)_data.json,steam://rungame/730/76561202255233023/+csgo_econ_action_preview%20M4912945944341061555A34708644390D9981846944221799795,Revolution Case,462.3919560727642,4912945944341061555,34708644390
AK-47  Head Shot (Battle-Scarred)_data.json,steam://rungame/730/76561202255233023/+csgo_econ_action_preview%20M5013152939061425868A38644092905D4821354949527923121,Revolution Case,462.2424560869667,5013152939061425868,38644092905
AK-47  Head Shot (Battle-Scarred)_data.json,steam://rungame/730/76561202255233023/+csgo_econ_action_preview%20M5057062582382248299A38631656331D16350013474063000885,Revolution Case,460.6554562377317,5057062582382248299,38631656331
AK-47  Head Shot (Battle-Scarred)_data.json,steam://rungame/730/76561202255233023/+csgo_econ_action_preview%20M4935463942556345585A38672855593D643558183201451293,Revolution Case,468.0269555374392,4935463942556345585,38672855593
AK-47  Head Shot (Battle-Scarred)_data.json,steam://rungame/730/76561202255233023/+csgo_econ_action_preview%20M4924204943409483077A37770891245D9981846944221799795,Revolution Case,477.0084546841968,4924204943409483077,37770891245
AK-47  Head Shot (Battle-Scarred)_data.json,steam://rungame/730/76561202255233023/+csgo_econ_action_preview%20M5013152939061080448A38571486140D3170783513213798717,Revolution Case,471.1204552435568,5013152939061080448,38571486140
AK-47  Head Shot (Battle-Scarred)_data.json,steam://rungame/730/76561202255233023/+csgo_econ_action_preview%20M5013152939061080088A38573013799D9981846944221799795,Revolution Case,471.1204552435568,5013152939061080088,38573013799
AK-47  Head Shot (Battle-Scarred)_data.json,steam://rungame/730/76561202255233023/+csgo_econ_action_preview%20M5060440282104528733A38737916667D487521257888689437,Revolution Case,483.42545407458186,5060440282104528733,38737916667
AK-47  Head Shot (Battle-Scarred)_data.json,steam://rungame/730/76561202255233023/+csgo_econ_action_preview%20M5060440282094831713A38727565492D13874575330706515955,Revolution Case,483.42545407458186,5060440282094831713,38727565492
